con_percent_scaled,temp_ct,T_c,k,species_ab
0.8627965141788839,0,0,8.62e-5,P.annularis
0.7754581122136682,0,0,8.62e-5,P.annularis
0.9627336590470985,0,0,8.62e-5,P.annularis
0.8072997003823911,0,0,8.62e-5,P.annularis
0.7794138452337004,0,0,8.62e-5,P.annularis
0.9230542118952748,0,0,8.62e-5,P.annularis
0.9989473684210526,0,0,8.62e-5,P.annularis
0.18858292086193865,3,0,8.62e-5,P.annularis
0.28193792771248877,3,0,8.62e-5,P.annularis
0.17415588444372543,3,0,8.62e-5,P.annularis
0.34159664390229655,3,0,8.62e-5,P.annularis
0.47175539744283995,3,0,8.62e-5,P.annularis
0.49065585881887663,3,0,8.62e-5,P.annularis
0.22928204012240222,-27,0,8.62e-5,G.affinis
0.17007632123254415,-27,0,8.62e-5,G.affinis
